iter	Passed	Remaining
412	2922	4153
413	2927	4144
414	2933	4135
415	2944	4133
416	2958	4136
417	2964	4127
418	2970	4119
419	2975	4109
420	2988	4109
421	2996	4104
422	3005	4099
423	3011	4090
424	3017	4082
425	3023	4073
426	3029	4065
427	3038	4060
428	3044	4052
429	3050	4043
430	3055	4034
431	3067	4032
432	3073	4024
433	3081	4018
434	3087	4010
435	3097	4007
436	3108	4004
437	3116	3998
438	3124	3992
439	3131	3985
440	3137	3976
441	3142	3966
442	3147	3956
443	3152	3948
444	3157	3938
445	3162	3928
446	3167	3918
447	3172	3909
448	3177	3899
449	3183	3890
450	3188	3881
451	3193	3871
452	3198	3862
453	3204	3853
454	3210	3844
455	3218	3839
456	3223	3830
457	3229	3821
458	3251	3831
459	3256	3822
460	3266	3819
461	3273	3811
462	3287	3812
463	3294	3805
464	3301	3798
465	3308	3791
466	3313	3782
467	3319	3773
468	3324	3763
469	3329	3754
470	3342	3754
471	3349	3746
472	3354	3737
473	3360	3728
474	3365	3719
475	3371	3711
476	3377	3702
477	3381	3693
478	3388	3685
479	3393	3675
480	3398	3666
481	3404	3658
482	3409	3649
483	3414	3640
484	3420	3632
485	3426	3624
486	3431	3614
487	3438	3607
488	3443	3598
489	3452	3593
490	3459	3586
491	3467	3579
492	3475	3574
493	3491	3576
494	3499	3569
495	3504	3560
496	3510	3552
497	3517	3545
498	3523	3537
499	3528	3528
500	3536	3521
501	3541	3513
502	3548	3506
503	3554	3498
504	3563	3492
505	3568	3483
506	3573	3475
507	3582	3469
508	3588	3461
509	3595	3454
510	3601	3446
511	3607	3438
512	3613	3430
513	3619	3422
514	3625	3414
515	3631	3406
516	3637	3397
517	3644	3390
518	3649	3382
519	3655	3374
520	3660	3365
521	3671	3361
522	3677	3353
523	3692	3354
524	3698	3346
525	3712	3345
526	3720	3339
527	3737	3340
528	3753	3341
529	3760	3335
530	3771	3331
531	3777	3322
532	3784	3315
533	3790	3307
534	3800	3302
535	3806	3294
536	3812	3286
537	3821	3281
538	3828	3274
539	3838	3269
540	3847	3263
541	3854	3256
542	3868	3255
543	3886	3257
544	3900	3256
545	3906	3248
546	3915	3242
547	3925	3237
548	3933	3231
549	3943	3226
550	3950	3219
551	3959	3213
552	3965	3205
553	3972	3198
554	3978	3189
555	3984	3181
556	3991	3174
557	3996	3165
558	4001	3156
559	4006	3148
560	4011	3139
561	4019	3132
562	4026	3125
563	4032	3117
564	4037	3108
565	4043	3100
566	4051	3094
567	4056	3085
568	4063	3077
569	4069	3070
570	4076	3062
571	4084	3056
572	4089	3047
573	4096	3039
574	4100	3031
575	4106	3022
576	4112	3014
577	4118	3006
578	4123	2998
579	4129	2990
580	4136	2982
581	4149	2980
582	4161	2976
583	4169	2970
584	4178	2963
585	4184	2955
586	4189	2947
587	4201	2943
588	4208	2936
589	4214	2928
590	4222	2922
591	4228	2914
592	4235	2907
593	4241	2899
594	4252	2894
595	4258	2886
596	4265	2879
597	4272	2872
598	4277	2863
599	4286	2857
600	4300	2855
601	4307	2847
602	4312	2839
603	4318	2831
604	4323	2822
605	4329	2814
606	4334	2806
607	4339	2797
608	4344	2789
609	4350	2781
610	4355	2773
611	4361	2764
612	4366	2756
613	4371	2748
614	4377	2740
615	4381	2731
616	4387	2723
617	4393	2715
618	4399	2707
619	4406	2700
620	4411	2692
621	4416	2683
622	4421	2675
623	4427	2667
624	4432	2659
625	4438	2651
626	4443	2643
627	4449	2635
628	4456	2628
629	4462	2620
630	4468	2613
631	4475	2606
632	4481	2598
633	4488	2590
634	4494	2583
635	4500	2575
636	4506	2567
637	4511	2559
638	4516	2551
639	4522	2544
640	4527	2535
641	4537	2530
642	4545	2523
643	4556	2518
644	4561	2510
645	4568	2503
646	4573	2495
647	4578	2487
648	4584	2479
649	4589	2471
650	4595	2463
651	4601	2455
652	4606	2447
653	4612	2440
654	4617	2432
655	4622	2424
656	4629	2416
657	4634	2408
658	4639	2400
659	4646	2393
660	4652	2386
661	4659	2378
662	4668	2372
663	4674	2365
664	4680	2357
665	4685	2349
666	4693	2343
667	4698	2335
668	4703	2327
669	4709	2319
670	4712	2310
671	4717	2302
672	4723	2295
673	4728	2287
674	4733	2279
675	4739	2271
676	4744	2263
677	4749	2255
678	4756	2248
679	4761	2240
680	4765	2232
681	4772	2225
682	4777	2217
683	4782	2209
684	4788	2201
685	4794	2194
686	4799	2186
687	4804	2178
688	4809	2170
689	4815	2163
690	4820	2155
691	4826	2148
692	4831	2140
693	4838	2133
694	4843	2125
695	4849	2118
696	4856	2111
697	4864	2104
698	4871	2097
699	4878	2090
700	4885	2083
701	4890	2076
702	4897	2068
703	4902	2061
704	4906	2053
705	4913	2045
706	4918	2038
707	4923	2030
708	4929	2023
709	4935	2015
710	4943	2009
711	4950	2002
712	4955	1994
713	4960	1987
714	4965	1979
715	4970	1971
716	4976	1964
717	4982	1957
718	4988	1949
719	4993	1941
720	4999	1934
721	5005	1927
722	5010	1919
723	5015	1911
724	5022	1904
725	5027	1897
726	5032	1889
727	5039	1882
728	5044	1875
729	5050	1867
730	5055	1860
731	5060	1852
732	5071	1847
733	5079	1840
734	5088	1834
735	5094	1827
736	5100	1820
737	5106	1812
738	5111	1805
739	5117	1798
740	5122	1790
741	5127	1782
742	5133	1775
743	5138	1768
744	5144	1760
745	5150	1753
746	5156	1746
747	5162	1739
748	5167	1731
749	5172	1724
750	5179	1717
751	5186	1710
752	5192	1703
753	5199	1696
754	5204	1688
755	5212	1682
756	5217	1674
757	5223	1667
758	5231	1661
759	5236	1653
760	5246	1647
761	5252	1640
762	5259	1633
763	5265	1626
764	5276	1620
765	5282	1613
766	5295	1608
767	5302	1601
768	5309	1594
769	5315	1587
770	5322	1580
771	5335	1575
772	5342	1568
773	5348	1561
774	5355	1554
775	5362	1548
776	5368	1540
777	5375	1533
778	5384	1527
779	5392	1520
780	5400	1514
