iter	Logloss
0	0.6890488512
1	0.6841162948
2	0.6800615502
3	0.6757989489
4	0.6710336636
5	0.6674612706
6	0.6637956322
7	0.6594796213
8	0.6550564049
9	0.6504504354
10	0.6462562096
11	0.6434160816
12	0.6397134807
13	0.6360210441
14	0.6331146466
15	0.6302851747
16	0.6272287788
17	0.6237367389
18	0.6201875468
19	0.6167641745
20	0.6137020087
21	0.6102298642
22	0.6065699531
23	0.6043997197
24	0.6008260454
25	0.5983389608
26	0.5951101993
27	0.5921991394
28	0.5891156633
29	0.5855830317
30	0.5827186353
31	0.5792338603
32	0.5767685802
33	0.57436786
34	0.5717316324
35	0.5691084694
36	0.5663285885
37	0.5635159688
38	0.5607193177
39	0.558166816
40	0.5558161587
41	0.5531380273
42	0.5503757411
43	0.5476982803
44	0.5453381119
45	0.5430695918
46	0.5411395864
47	0.5388887664
48	0.5368991878
49	0.5341514493
50	0.5319573617
51	0.5298831755
52	0.5278289979
53	0.5257122442
54	0.524300106
55	0.5222734308
56	0.5198990169
57	0.5180021422
58	0.5157598657
59	0.5135612319
60	0.5111948483
61	0.5089329487
62	0.5070142323
63	0.5049217672
64	0.5030886652
65	0.5017312881
66	0.5000351923
67	0.4985995416
68	0.4970463178
69	0.4946593626
70	0.4926881288
71	0.4911920049
72	0.4895839445
73	0.4878767724
74	0.4857769523
75	0.484221127
76	0.4822120327
77	0.4802857125
78	0.4785605639
79	0.4769914188
80	0.4755618472
81	0.4736822705
82	0.4720279862
83	0.4711045205
84	0.469269175
85	0.4678159261
86	0.4662538722
87	0.464486856
88	0.4631196559
89	0.461573151
90	0.46005285
91	0.4590441969
92	0.4578664788
93	0.4566565398
94	0.4550637827
95	0.4537745886
96	0.452827203
97	0.4512340827
98	0.4498938322
99	0.448846328
100	0.4476019236
101	0.4459910135
102	0.4449436154
103	0.4440736314
104	0.4427266465
105	0.4415077867
106	0.4407521533
107	0.4397838931
108	0.4387759842
109	0.4377428744
110	0.4368085971
111	0.4353797357
112	0.434136671
113	0.4329364942
114	0.4318816125
115	0.4304031933
116	0.4296086538
117	0.4284388766
118	0.4275740089
119	0.4264526839
120	0.4253754636
121	0.4241549317
122	0.4230452608
123	0.4223176311
124	0.4215120045
125	0.4206721997
126	0.4195936345
127	0.4186077205
128	0.4175680413
129	0.416803879
130	0.4157195642
131	0.4150557651
132	0.4140306353
133	0.4132236575
134	0.4120796372
135	0.4110690864
136	0.4102773623
137	0.4095274567
138	0.4084911383
139	0.4074967013
140	0.4066089498
141	0.4055696533
142	0.4045948676
143	0.4038024782
144	0.4030453591
145	0.4021277104
146	0.4016237499
147	0.4006188589
148	0.3994929541
149	0.3985152002
150	0.3975553906
151	0.3966397009
152	0.3957998202
153	0.3949182411
154	0.3941607304
155	0.393439049
156	0.3926620189
157	0.392003144
158	0.3911594201
159	0.3905572859
160	0.3896426361
161	0.3887917721
162	0.3879124754
163	0.3870375117
164	0.386016598
165	0.38539653
166	0.3847209534
167	0.3840803352
168	0.3832724343
169	0.382594227
170	0.3818443313
171	0.3808625193
172	0.3801481216
173	0.3794099762
174	0.3783753976
175	0.3778807414
176	0.3771788689
177	0.3762142291
178	0.3756044079
179	0.3750922704
180	0.3748093738
181	0.374088645
182	0.3734330098
183	0.372417727
184	0.3716671918
185	0.3712448013
186	0.3705065117
187	0.3699145867
188	0.369220337
189	0.3687206638
190	0.3682153286
191	0.3675357967
192	0.3670778944
193	0.3666524607
194	0.3657998515
195	0.3650986387
196	0.3645767528
197	0.3640576265
198	0.3634423519
199	0.3626474741
200	0.3619389513
201	0.3615603409
202	0.3610375626
203	0.3602666776
204	0.3595207464
205	0.3587826688
206	0.3580673165
207	0.3574874707
208	0.356434022
209	0.3559015082
210	0.3553775554
211	0.3547602129
212	0.3542749814
213	0.3535583786
214	0.3528945598
215	0.3520111294
216	0.3515316619
217	0.3509964347
218	0.3505413871
219	0.3501215101
220	0.3494428724
221	0.3488243963
222	0.3480739948
223	0.34740621
224	0.3466548752
225	0.3461566216
226	0.3457189104
227	0.3453884554
228	0.3446104404
229	0.3443089954
230	0.343522148
231	0.343036676
232	0.3424443061
233	0.3419540378
234	0.3411999553
235	0.3408310277
236	0.34019059
237	0.3397627221
238	0.339393738
239	0.3389220605
240	0.3383488299
241	0.3379054012
242	0.3373622974
243	0.3367178746
244	0.3364116019
245	0.3362360265
246	0.335787729
247	0.3352848022
248	0.3349508578
249	0.3347022662
250	0.3342678168
251	0.3338634069
252	0.3334189878
253	0.3326235624
254	0.3321161157
255	0.3314763786
256	0.3311824196
257	0.330777914
258	0.3304939132
259	0.3301933983
260	0.3297977554
261	0.3295872116
262	0.3290675405
263	0.3285189334
264	0.3280857522
265	0.3275178351
266	0.3270153535
267	0.326675211
268	0.3263485067
269	0.3259021125
270	0.3254834367
271	0.3251043628
272	0.3248079092
273	0.3244706176
274	0.3240673013
275	0.3237062983
276	0.3234675849
277	0.3231004496
278	0.3226366504
279	0.3224260973
280	0.3221818956
281	0.3216877955
282	0.3213277192
283	0.3210022759
284	0.3206109765
285	0.3202204715
286	0.3198924224
287	0.3193579344
288	0.3188682869
289	0.3185640723
290	0.3181412814
291	0.3177662993
292	0.3172597333
293	0.3169827859
294	0.3164530899
295	0.3160214149
296	0.3156163054
297	0.3150498205
298	0.3143747693
299	0.3140051611
300	0.3136603014
301	0.3132690258
302	0.3128050928
303	0.312277177
304	0.3117472806
305	0.3112990785
306	0.3108532789
307	0.3105247818
308	0.3101540929
309	0.3099932907
310	0.309286416
311	0.3087438961
312	0.308452482
313	0.3082016231
314	0.3078103841
315	0.3074165203
316	0.3069601648
317	0.3067779016
318	0.3061736756
319	0.3058020513
320	0.3053688409
321	0.3050260143
322	0.30465053
